category,group,measure
0,All,732286
1,All,858287
2,All,1054242
3,All,909060
4,All,980321
5,All,879534
6,All,750943
7,All,765701
8,All,899186
9,All,943558
10,All,945948
11,All,1003458
12,All,935622
13,All,866047
14,All,889466
15,All,1171431
16,All,3530749
17,All,1185223
18,All,1205709
19,All,1177659
20,All,1324232
21,All,1444357
22,All,1560355
23,All,1572587
24,All,1305657
25,All,1234604
26,All,1144005
27,All,970795
28,All,882766
29,All,898429
0,Facebook,238767
1,Facebook,283965
2,Facebook,348778
3,Facebook,202825
4,Facebook,218571
5,Facebook,202978
6,Facebook,180175
7,Facebook,186680
8,Facebook,208609
9,Facebook,207749
10,Facebook,216139
11,Facebook,244660
12,Facebook,220089
13,Facebook,206947
14,Facebook,207814
15,Facebook,216023
16,Facebook,238548
17,Facebook,257156
18,Facebook,289128
19,Facebook,219598
20,Facebook,217737
21,Facebook,264312
22,Facebook,223041
23,Facebook,221988
24,Facebook,231218
25,Facebook,205412
26,Facebook,204345
27,Facebook,151771
28,Facebook,172376
29,Facebook,165568
0,Hlavn%C3%AD_strana,94992
1,Hlavn%C3%AD_strana,118863
2,Hlavn%C3%AD_strana,139013
3,Hlavn%C3%AD_strana,146678
4,Hlavn%C3%AD_strana,143981
5,Hlavn%C3%AD_strana,132302
6,Hlavn%C3%AD_strana,101915
7,Hlavn%C3%AD_strana,113948
8,Hlavn%C3%AD_strana,147819
9,Hlavn%C3%AD_strana,147625
10,Hlavn%C3%AD_strana,150273
11,Hlavn%C3%AD_strana,157822
12,Hlavn%C3%AD_strana,143663
13,Hlavn%C3%AD_strana,116643
14,Hlavn%C3%AD_strana,118319
15,Hlavn%C3%AD_strana,151676
16,Hlavn%C3%AD_strana,165915
17,Hlavn%C3%AD_strana,166516
18,Hlavn%C3%AD_strana,165216
19,Hlavn%C3%AD_strana,158025
20,Hlavn%C3%AD_strana,125491
21,Hlavn%C3%AD_strana,124354
22,Hlavn%C3%AD_strana,165123
23,Hlavn%C3%AD_strana,169136
24,Hlavn%C3%AD_strana,175829
25,Hlavn%C3%AD_strana,176135
26,Hlavn%C3%AD_strana,177706
27,Hlavn%C3%AD_strana,135104
28,Hlavn%C3%AD_strana,131475
29,Hlavn%C3%AD_strana,165204
0,Mark_Zuckerberg,72639
1,Mark_Zuckerberg,80530
2,Mark_Zuckerberg,73317
3,Mark_Zuckerberg,92929
4,Mark_Zuckerberg,143294
5,Mark_Zuckerberg,143335
6,Mark_Zuckerberg,82892
7,Mark_Zuckerberg,68774
8,Mark_Zuckerberg,96502
9,Mark_Zuckerberg,104782
10,Mark_Zuckerberg,92032
11,Mark_Zuckerberg,136754
12,Mark_Zuckerberg,152107
13,Mark_Zuckerberg,132896
14,Mark_Zuckerberg,109455
15,Mark_Zuckerberg,116529
16,Mark_Zuckerberg,132660
17,Mark_Zuckerberg,178783
18,Mark_Zuckerberg,260723
19,Mark_Zuckerberg,175401
20,Mark_Zuckerberg,153503
21,Mark_Zuckerberg,134717
22,Mark_Zuckerberg,147235
23,Mark_Zuckerberg,158011
24,Mark_Zuckerberg,108931
25,Mark_Zuckerberg,127208
26,Mark_Zuckerberg,128561
27,Mark_Zuckerberg,87369
28,Mark_Zuckerberg,93413
29,Mark_Zuckerberg,77286
0,Ngai.cc,9356
1,Ngai.cc,27386
2,Ngai.cc,130887
3,Ngai.cc,134267
4,Ngai.cc,135986
5,Ngai.cc,120469
6,Ngai.cc,112101
7,Ngai.cc,115403
8,Ngai.cc,120746
9,Ngai.cc,119226
10,Ngai.cc,122275
11,Ngai.cc,112336
12,Ngai.cc,96740
13,Ngai.cc,103918
14,Ngai.cc,106136
15,Ngai.cc,100327
16,Ngai.cc,107207
17,Ngai.cc,102274
18,Ngai.cc,97253
19,Ngai.cc,96558
20,Ngai.cc,96230
21,Ngai.cc,100975
22,Ngai.cc,103223
23,Ngai.cc,100690
24,Ngai.cc,98356
25,Ngai.cc,97830
26,Ngai.cc,96762
27,Ngai.cc,97476
28,Ngai.cc,97106
29,Ngai.cc,96532
0,Main%20Page,0
1,Main%20Page,0
2,Main%20Page,0
3,Main%20Page,0
4,Main%20Page,0
5,Main%20Page,0
6,Main%20Page,0
7,Main%20Page,0
8,Main%20Page,0
9,Main%20Page,0
10,Main%20Page,0
11,Main%20Page,0
12,Main%20Page,0
13,Main%20Page,0
14,Main%20Page,0
15,Main%20Page,0
16,Main%20Page,1413
17,Main%20Page,10263
18,Main%20Page,21483
19,Main%20Page,180230
20,Main%20Page,418826
21,Main%20Page,476055
22,Main%20Page,519849
23,Main%20Page,496263
24,Main%20Page,267499
25,Main%20Page,237174
26,Main%20Page,197636
27,Main%20Page,176642
28,Main%20Page,44483
29,Main%20Page,0
0,Google,107161
1,Google,112088
2,Google,107929
3,Google,101797
4,Google,110718
5,Google,85670
6,Google,84332
7,Google,88992
8,Google,97287
9,Google,102829
10,Google,95853
11,Google,92773
12,Google,83768
13,Google,83413
14,Google,120448
15,Google,109587
16,Google,106142
17,Google,103610
18,Google,99071
19,Google,89036
20,Google,81081
21,Google,103890
22,Google,107763
23,Google,114182
24,Google,112465
25,Google,113439
26,Google,73959
27,Google,75462
28,Google,88654
29,Google,96370
0,Paul_C%C3%A9zanne,0
1,Paul_C%C3%A9zanne,0
2,Paul_C%C3%A9zanne,0
3,Paul_C%C3%A9zanne,0
4,Paul_C%C3%A9zanne,214
5,Paul_C%C3%A9zanne,0
6,Paul_C%C3%A9zanne,0
7,Paul_C%C3%A9zanne,0
8,Paul_C%C3%A9zanne,0
9,Paul_C%C3%A9zanne,891
10,Paul_C%C3%A9zanne,2204
11,Paul_C%C3%A9zanne,2606
12,Paul_C%C3%A9zanne,2026
13,Paul_C%C3%A9zanne,413
14,Paul_C%C3%A9zanne,4059
15,Paul_C%C3%A9zanne,210345
16,Paul_C%C3%A9zanne,2482968
17,Paul_C%C3%A9zanne,74779
18,Paul_C%C3%A9zanne,223
19,Paul_C%C3%A9zanne,0
20,Paul_C%C3%A9zanne,0
21,Paul_C%C3%A9zanne,0
22,Paul_C%C3%A9zanne,259
23,Paul_C%C3%A9zanne,0
24,Paul_C%C3%A9zanne,0
25,Paul_C%C3%A9zanne,415
26,Paul_C%C3%A9zanne,0
27,Paul_C%C3%A9zanne,0
28,Paul_C%C3%A9zanne,0
29,Paul_C%C3%A9zanne,0
0,Ana_Sayfa,74679
1,Ana_Sayfa,78514
2,Ana_Sayfa,87526
3,Ana_Sayfa,71479
4,Ana_Sayfa,78473
5,Ana_Sayfa,62962
6,Ana_Sayfa,61779
7,Ana_Sayfa,63834
8,Ana_Sayfa,74215
9,Ana_Sayfa,81264
10,Ana_Sayfa,80421
11,Ana_Sayfa,85664
12,Ana_Sayfa,81412
13,Ana_Sayfa,76627
14,Ana_Sayfa,77254
15,Ana_Sayfa,98952
16,Ana_Sayfa,101972
17,Ana_Sayfa,102526
18,Ana_Sayfa,98536
19,Ana_Sayfa,102769
20,Ana_Sayfa,84166
21,Ana_Sayfa,83591
22,Ana_Sayfa,108977
23,Ana_Sayfa,103451
24,Ana_Sayfa,103612
25,Ana_Sayfa,104149
26,Ana_Sayfa,105546
27,Ana_Sayfa,93517
28,Ana_Sayfa,86320
29,Ana_Sayfa,115761
0,How_I_Met_Your_Mother,54768
1,How_I_Met_Your_Mother,76829
2,How_I_Met_Your_Mother,84995
3,How_I_Met_Your_Mother,75402
4,How_I_Met_Your_Mother,62250
5,How_I_Met_Your_Mother,52493
6,How_I_Met_Your_Mother,52459
7,How_I_Met_Your_Mother,51999
8,How_I_Met_Your_Mother,70606
9,How_I_Met_Your_Mother,91565
10,How_I_Met_Your_Mother,98695
11,How_I_Met_Your_Mother,82382
12,How_I_Met_Your_Mother,76287
13,How_I_Met_Your_Mother,70875
14,How_I_Met_Your_Mother,66889
15,How_I_Met_Your_Mother,87347
16,How_I_Met_Your_Mother,111335
17,How_I_Met_Your_Mother,105171
18,How_I_Met_Your_Mother,81671
19,How_I_Met_Your_Mother,78873
20,How_I_Met_Your_Mother,79039
21,How_I_Met_Your_Mother,77020
22,How_I_Met_Your_Mother,101820
23,How_I_Met_Your_Mother,124843
24,How_I_Met_Your_Mother,124546
25,How_I_Met_Your_Mother,87831
26,How_I_Met_Your_Mother,80944
27,How_I_Met_Your_Mother,82637
28,How_I_Met_Your_Mother,86150
29,How_I_Met_Your_Mother,93973
0,Accueil,79924
1,Accueil,80112
2,Accueil,81797
3,Accueil,83683
4,Accueil,86834
5,Accueil,79325
6,Accueil,75290
7,Accueil,76071
8,Accueil,83402
9,Accueil,87627
10,Accueil,88056
11,Accueil,88461
12,Accueil,79530
13,Accueil,74315
14,Accueil,79092
15,Accueil,80645
16,Accueil,82589
17,Accueil,84145
18,Accueil,92405
19,Accueil,77169
20,Accueil,68159
21,Accueil,79443
22,Accueil,83065
23,Accueil,84023
24,Accueil,83201
25,Accueil,85011
26,Accueil,78546
27,Accueil,70817
28,Accueil,82789
29,Accueil,87735
